ID,date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup,winner,station_id,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
955,1975-01-18,France,Wales,10,25,1975 Five Nations Championship,Parc des Princes,Paris,France,False,False,away_team,07149,Winter,7.3,6.2,9.7,9.1,,,,,,
956,1975-01-18,Ireland,England,12,9,1975 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Winter,1.4,-2.0,4.6,1.0,,263.0,13.1,,1000.6,
957,1975-02-01,England,France,20,27,1975 Five Nations Championship,Twickenham,London,England,False,False,away_team,03772,Winter,7.7,1.0,11.0,0.0,,256.0,8.6,,,
958,1975-02-01,Scotland,Ireland,20,13,1975 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team,03171,Winter,8.4,2.0,11.0,0.0,,228.0,25.6,,1023.3,
960,1975-02-15,France,Scotland,10,9,1975 Five Nations Championship,Parc des Princes,Paris,France,False,False,home_team,07149,Winter,6.0,2.5,11.3,7.6,,,3.9,,,
961,1975-03-01,Scotland,Wales,12,10,1975 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False,home_team,03171,Spring,2.8,0.0,5.0,0.0,,,4.9,,,
962,1975-03-01,Ireland,France,25,6,1975 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team,03969,Spring,7.6,4.3,11.0,0.4,,132.0,17.7,,1001.7,
964,1975-03-15,England,Scotland,7,6,1975 Five Nations Championship,Twickenham Stadium,London,England,False,False,home_team,03772,Spring,3.9,3.0,6.0,0.5,,356.0,14.3,,,
965,1975-05-24,Australia,England,16,9,1975 England tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,home_team,94767,Autumn,14.0,12.8,19.3,0.0,,,,,,
966,1975-05-31,Australia,England,30,21,1975 England tour of Australia,Ballymore Stadium,Brisbane,Australia,False,False,home_team,,,,,,,,,,,,
